Region,Places reporting cases,Sum of Cases,Sum of Deaths,Confirmed cases in the last 14 days
Africa,Algeria,61381,2036,5501
,Angola,12223,300,3394
,Benin,2745,43,188
,Botswana,7835,27,1912
,Burkina_Faso,2565,67,121
,Burundi,612,1,57
,Cameroon,22342,429,772
,Cape_Verde,9291,100,969
,Central_African_Republic,4879,62,17
,Chad,1543,99,109
,Comoros,563,7,46
,Congo,5379,98,126
,Cote_dIvoire,20813,126,384
,Democratic_Republic_of_the_Congo,11590,315,448
,Djibouti,5605,61,75
,Egypt,108962,6355,2565
,Equatorial_Guinea,5092,85,13
,Eritrea,491,0,30
,Eswatini,5989,117,142
,Ethiopia,99201,1518,6343
,Gabon,9022,55,103
,Gambia,3684,121,25
,Ghana,48904,320,1214
,Guinea,12400,73,731
,Guinea_Bissau,2413,41,10
,Kenya,61769,1103,12979
,Lesotho,1967,44,33
,Liberia,1442,82,49
,Libya,67039,920,12665
,Madagascar,17213,249,245
,Malawi,5948,184,61
,Mali,3676,137,204
,Mauritania,7800,165,138
,Mauritius,452,10,17
,Morocco,252185,4197,57724
,Mozambique,13577,99,1682
,Namibia,13170,134,591
,Niger,1242,69,27
,Nigeria,63790,1154,1860
,Rwanda,5213,36,153
,Sao_Tome_and_Principe,962,16,22
,Senegal,15693,326,150
,Seychelles,158,0,5
,Sierra_Leone,2381,74,36
,Somalia,4229,107,332
,South_Africa,735906,19789,21660
,South_Sudan,2955,59,77
,Sudan,13943,837,201
,Togo,2483,57,296
,Tunisia,69543,1794,20744
,Uganda,14066,131,2769
,United_Republic_of_Tanzania,509,21,0
,Western_Sahara,766,1,0
,Zambia,16908,349,791
,Zimbabwe,8498,251,229
America,Anguilla,3,0,0
,Antigua_and_Barbuda,131,3,7
,Argentina,1236838,33348,155515
,Aruba,4589,40,179
,Bahamas,6947,152,595
,Barbados,242,7,15
,Belize,4076,68,970
,Bermuda,209,9,18
,Bolivia,142427,8790,1648
,"Bonaire, Saint Eustatius and Saba",154,3,4
,Brazil,5590025,161106,209390
,British_Virgin_Islands,72,1,0
,Canada,260055,10490,46096
,Cayman_Islands,250,1,11
,Chile,519977,14499,19435
,Colombia,1136447,32595,128736
,Costa_Rica,116363,1464,13275
,Cuba,7267,130,733
,Curaçao,1077,2,240
,Dominica,42,0,5
,Dominican_Republic,129645,2263,5627
,Ecuador,173486,12815,13872
,El_Salvador,35145,1010,2560
,Falkland_Islands_(Malvinas),13,0,0
,Greenland,17,0,0
,Grenada,30,0,2
,Guatemala,111050,3811,6418
,Guyana,4484,134,490
,Haiti,9127,232,112
,Honduras,100041,2745,7317
,Jamaica,9472,218,802
,Mexico,961938,94808,75138
,Montserrat,13,1,0
,Nicaragua,5591,157,157
,Panama,138506,2781,9991
,Paraguay,66941,1479,7898
,Peru,920010,34840,33796
,Puerto_Rico,71455,862,10175
,Saint_Kitts_and_Nevis,19,0,0
,Saint_Lucia,123,0,71
,Saint_Vincent_and_the_Grenadines,76,0,3
,Sint_Maarten,886,23,106
,Suriname,5234,113,68
,Trinidad_and_Tobago,5838,111,335
,Turks_and_Caicos_islands,707,6,6
,United_States_of_America,9860958,237113,1284233
,United_States_Virgin_Islands,1405,23,57
,Uruguay,3441,61,634
,Venezuela,94305,821,5163
Asia,Afghanistan,42159,1562,1391
,Bahrain,83264,329,3289
,Bangladesh,418764,6049,21257
,Bhutan,359,0,19
,Brunei_Darussalam,148,3,0
,Cambodia,295,0,8
,China,91528,4739,403
,India,8507754,126121,642943
,Indonesia,433836,14540,47856
,Iran,673250,37832,110545
,Iraq,496019,11283,46866
,Israel,319022,2644,9609
,Japan,107086,1812,10552
,Jordan,104802,1181,54052
,Kazakhstan,155220,2266,7923
,Kuwait,131205,808,10278
,Kyrgyzstan,62819,1177,7069
,Laos,24,0,0
,Lebanon,93097,713,23191
,Malaysia,39357,282,13615
,Maldives,11962,39,541
,Mongolia,361,0,23
,Myanmar,60348,1396,16560
,Nepal,191636,1087,36403
,Oman,117167,1286,5330
,Pakistan,343189,6968,15294
,Palestine,69612,584,8019
,Philippines,393961,7485,26142
,Qatar,134013,232,3048
,Saudi_Arabia,350229,5525,5677
,Singapore,58054,28,89
,South_Korea,27427,478,1591
,Sri_Lanka,13419,34,5898
,Syria,6147,313,788
,Taiwan,577,7,27
,Tajikistan,11256,83,520
,Thailand,3837,60,101
,Timor_Leste,30,0,1
,Turkey,391739,10803,31955
,United_Arab_Emirates,141032,514,17268
,Uzbekistan,68367,581,3167
,Vietnam,1213,35,53
,Yemen,2070,602,7
Europe,Albania,23705,557,4847
,Andorra,5319,75,1281
,Armenia,106424,1559,28587
,Austria,146502,1318,66732
,Azerbaijan,63748,824,14735
,Belarus,105283,1004,13305
,Belgium,494073,12907,147232
,Bosnia_and_Herzegovina,61212,1490,21454
,Bulgaria,74485,1632,36923
,Croatia,64704,752,30745
,Cyprus,5871,28,2427
,Czechia,411220,4681,160423
,Denmark,54230,740,14819
,Estonia,5933,73,1582
,Faroe_Islands,495,0,5
,Finland,17385,362,2733
,France,1748705,40169,662208
,Georgia,57753,475,29322
,Germany,658505,11289,229324
,Gibraltar,785,0,125
,Greece,54809,749,24817
,Guernsey,279,13,14
,Holy_See,26,0,0
,Hungary,109616,2438,50369
,Iceland,5063,18,669
,Ireland,64855,1945,8747
,Isle_of_Man,357,24,9
,Italy,902490,41063,397981
,Jersey,643,32,113
,Kosovo,23425,744,5668
,Latvia,7880,96,3413
,Liechtenstein,765,3,425
,Lithuania,22719,203,13141
,Luxembourg,22481,185,8768
,Malta,7039,74,1664
,Moldova,81675,1891,10586
,Monaco,483,1,187
,Montenegro,22379,333,5750
,Netherlands,403914,7950,123183
,North_Macedonia,38782,1110,12388
,Norway,23225,285,5993
,Poland,521640,7636,279694
,Portugal,173540,2848,57431
,Romania,296999,7793,91206
,Russia,1753836,30251,256669
,San_Marino,1043,42,224
,Serbia,60635,880,21763
,Slovakia,73667,351,32866
,Slovenia,44271,378,22994
,Spain,1328832,38833,282700
,Sweden,146461,6022,32124
,Switzerland,211160,2404,107837
,Ukraine,450934,8312,113524
,United_Kingdom,1171441,48888,317431
Oceania,Australia,27652,907,153
,Fiji,34,2,1
,French_Polynesia,9995,39,4198
,Guam,5113,89,897
,Marshall_Islands,1,0,1
,New_Caledonia,29,0,2
,New_Zealand,1626,25,47
,Northern_Mariana_Islands,98,2,10
,Papua_New_Guinea,597,7,14
,Solomon_Islands,13,0,9
,Wallis_and_Futuna,1,0,0
Other,Cases_on_an_international_conveyance_Japan,696,7,0
*Total*,,*49945364*,*1250275*,*7156795*