col1,col2,col3
7,4,1
7,7,9
7,9,6
1,6,5
6,7,7
7,9,4
7,10,6
7,8,2
8,3,8
4,10,5
7,4,5
7,8,4
2,5,1
2,6,2
2,3,8
3,9,1
4,2,9
1,7,1
6,2,3
4,1,9
4,8,5
6,6,7
4,6,2
8,1,1
7,5,10
17,25,21
15,23,32
42,25,45
41,47,21
37,20,27
40,18,26
41,28,50
32,25,40
24,29,35
47,18,47
36,42,45
49,29,15
47,39,22
38,27,25
45,23,40
23,36,19
47,40,50
37,30,40
42,48,41
29,31,21
36,39,48
50,24,31
42,44,37
37,39,46
22,40,30
17,29,41
85,100,69
68,76,67
76,70,93
62,66,91
83,93,76
95,72,63
75,94,95
83,72,80
93,87,76
86,93,63
97,82,75
61,74,74
84,90,100
77,67,97
61,82,73
81,60,69
67,80,98
94,82,60
69,73,74
74,96,80
86,62,61
88,68,95
99,67,80
76,95,70