Wow ... Me encantó este lugar.	1
La corteza no es buena.	0
No sabroso y la textura era simplemente desagradable.	0
Me detuve durante las vacaciones de fines de mayo a las recomendaciones de Rick Steve y me encantó.	1
La selección en el menú era genial, al igual que los precios.	1
Ahora me estoy enojando y quiero mi maldito pho.	0
Honestamente no sabía tan fresco.)	0
Las papas eran como caucho y se notaba que se habían preparado antes de tiempo y que se mantenían debajo de un calentador.	0
Las patatas fritas también eran geniales.	1
Un gran toque.	1
El servicio fue muy rápido.	1
No volvería	0
Al cajero no le importaba lo que fuera, y lo que tenía que decir era que todavía era demasiado caro.	0
Probé el ravoli de Cape Cod, pollo, con arándano ... mmmm!	1
Estaba disgustado porque estaba bastante seguro de que era cabello humano.	0
Me sorprendió porque no hay signos que indiquen sólo efectivo.	0
Muy recomendable.	1
La camarera fue un poco lento en el servicio.	0
Este lugar no vale la pena su tiempo, y mucho menos Vegas.	0
No me gustó en absoluto.	0
Los Burrittos Blah!	0
La comida, increíble.	1
El servicio también es lindo.	1
Podría importarme menos ... El interior es simplemente hermoso.	1
Así lo realizaron.	1
Así es ... el pastel de terciopelo rojo ... ohhh, esto es muy bueno.	1
- Nunca trajeron una ensalada que pedimos.	0
Este agujero en la pared tiene excelentes tacos mexicanos y un personal amable.	1
Tardé una hora en conseguir nuestra comida, solo 4 mesas en el restaurante, mi comida estaba tibia con Luke, nuestro servidor estaba corriendo como si estuviera totalmente abrumado.	0
Lo peor fue el sashimi de salmón.	0
También hay combos como una hamburguesa, papas fritas y cerveza para 23, que es un trato decente.	1
¡Esto fue como el golpe final!	0
Encontré este lugar por accidente y no podría estar más feliz.	1
parece un buen lugar rápido para comer algo de comida familiar de pub, pero hazte un favor y busca en otro lado.	0
En general, me gusta mucho este lugar.	1
La única calidad redentora del restaurante fue que era muy barato.	1
Amplias raciones y buenos precios.	1
Mal servicio, el camarero me hizo sentir como una estúpida cada vez que venía a la mesa.	0
¡Mi primera visita a Hiro fue una delicia!	1
El servicio apesta.	0
Los camarones tiernos y húmedos.	1
No hay un trato lo suficientemente bueno que me arrastre de nuevo a ese establecimiento.	0
Es difícil juzgar si estos lados eran buenos porque el poliestireno derretido nos asaltó y no queríamos comerlo por miedo a enfermarnos.	0
En una nota positiva, nuestro servidor fue muy atento y ofrece un gran servicio.	1
Pucks congelados de disgusto, con algunas de las peores personas detrás del registro.	0
Lo único que me gustó fue la costilla y la sección de postres.	1
Es una pena que la comida sea tan genérica.	0
La hamburguesa es buena carne, cocinada a la perfección.	1
Si quieres un sándwich solo ve a cualquier Firehouse !!!!!	1
Mi ensalada griega con el aderezo griego era muy sabrosa, y la pita y el hummus eran muy refrescantes.	1
Pedimos el pato raro y era rosado y tierno en el interior con una buena charla en el exterior.	1
Él vino corriendo detrás de nosotros cuando se dio cuenta de que mi esposo había dejado sus gafas de sol sobre la mesa.	1
Su chow mein es tan bueno!	1
Tienen actitudes horribles hacia los clientes y hablan de ellos cuando los clientes no disfrutan de su comida.	0
La porción era enorme!	1
Me encantó ... servidores amables, excelente comida, menú maravilloso e imaginativo.	1
El Heart Attack Grill en el centro de Las Vegas es una excusa absolutamente plana para un restaurante.	0
No mucho marisco y como 5 cuerdas de pasta en el fondo.	0
La ensalada tenía la cantidad justa de salsa para no sobrecargar la vieira, que estaba perfectamente preparada.	1
El plátano rasgado no solo estaba rasgado, sino petrificado y sin sabor.	0
Al menos piensa en rellenar mi agua antes de que luche para hacerte un saludo durante 10 minutos.	0
Este lugar recibe estrellas para sus APETIZADORES !!!	1
Los cócteles son todos hechos a mano y deliciosos.	1
Sin duda volveremos aquí de nuevo.	1
Estamos muy contentos de haber encontrado este lugar.	1
Buena comida y servicio, raciones enormes y dan un descuento militar.	1
¡Siempre un buen momento en Dos Gringos!	1
Actualización ..... volví por segunda vez y todavía era igual de increíble	1
Conseguimos la comida y al parecer nunca han oído hablar de sal y la masa del pescado era masticable.	0
Una gran manera de terminar un gran.	1
El acuerdo incluyó 5 degustaciones y 2 bebidas, y Jeff fue más allá de lo que esperábamos.	1
- Realmente, realmente buen arroz, todo el tiempo.	1
El servicio fue meh.	0
Tomó más de 30 minutos conseguir su batido, que no era más que leche de chocolate.	0
Supongo que debería haber sabido que este lugar apestaría, porque está dentro del Excalibur, pero no usé mi sentido común.	0
El plato de vieira es bastante atroz por su valor también.	0
2 veces - Muy mal servicio al cliente!	0
Las batatas fritas eran muy buenas y bien condimentadas.	1
Hoy es la segunda vez que he estado en su buffet de almuerzo y fue bastante bueno.	1
Hay tanta comida buena en Las Vegas que me siento engañado por perder una oportunidad de comer yendo a Rice and Company.	0
Venir aquí es como experimentar una relación decepcionante en la que ambas partes no pueden esperar a que la otra persona le pida que rompa.	0
Entré y el lugar olía como una vieja trampa de grasa y solo otros 2 comían allí.	0
El pavo y la carne asada eran sosos.	0
Este lugar lo tiene!	1
Todos los comensales están entusiasmados con el sabor como un azucarado desastre adaptado al paladar de un niño de seis años.	0
Me encanta el Pho y los rollitos de primavera, oh, qué delicioso que tienes que probar.	1
La pobre proporción de masa por carne hizo que las ofertas de pollo fueran muy insatisfactorias.	0
Todo lo que tengo que decir es que la comida era increíble!	1
Las tortillas son para morirse!	1
¡Todo era fresco y delicioso!	1
En resumen, esta fue una experiencia gastronómica en gran medida decepcionante.	0
Es como una fiesta realmente sexy en tu boca, donde estás coqueteando con la mejor persona de la fiesta.	1
Nunca he estado en Hard Rock Casino antes, ¡NUNCA NUNCA PASES ADELANTE!	0
El mejor desayuno buffet !!!	1
Dile adiós a tu dama de punta!	0
Nunca volveremos a ir.	0
Volveremos de nuevo!	1
¡La comida llegó rápido!	1
No era bueno.	0
En el lado positivo, su cafetería sirve muy buena comida.	1
Nuestro camarero fue fantástico y cuando descubrió que a la mujer le encantan los ajos asados ​​y la médula ósea, ¡agregó algo extra a nuestra comida y otra médula para llevar!	1
Lo único bueno fue nuestro camarero, él fue muy servicial y mantuvo la llegada de Bloddy Mary.	1
El mejor buffet de la ciudad, por el precio que no se puede superar.	1
Me encantaron sus mejillones cocinados en esta reducción de vino, el pato estaba tierno, y sus platos de patata eran deliciosos.	1
Este es uno de los mejores buffets que he estado.	1
Así que fuimos a Tigerlilly y tuvimos una tarde fantástica!	1
La comida era deliciosa, nuestro barman fue atento y agradable y nos dieron una gran oferta!	1
El ambiente es maravilloso y hay música.	1
Volveremos en el próximo viaje.	1
¡Qué bueno!	1
Los verdaderos amantes del sushi, seamos honestos, Yama no es tan bueno.	0
Al menos 40 minutos pasaron entre nosotros pidiendo y la comida llegó, y no estaba tan ocupado.	0
Este es un restaurante tailandés realmente fantástico que definitivamente vale la pena visitar.	1
Agradable, picante y tierno.	1
Buenos precios.	1
Echale un vistazo.	1
Fue bastante asqueroso!	0
He tenido mejor ambiente.	0
Un poco difícil de desordenar un bistec pero lo hicieron.	0
Aunque me gustó mucho el aspecto y el sonido de este lugar, la experiencia real fue un poco decepcionante.	0
Simplemente no sé cómo este lugar logró servir la comida más insípida que he comido cuando están preparando la cocina india.	0
El peor servicio para arrancar, pero esa es la menor de sus preocupaciones.	0
El servicio estaba bien y la camarera era amable.	1
Todos los tipos tenían filetes, y nuestro hijo amante de la carne que ha comido carne en los mejores y peores lugares, dijo que era la mejor carne que jamás había comido.	1
Pensamos que tendrías que aventurarte más lejos para conseguir un buen sushi, pero este lugar realmente golpeó el lugar esa noche.	1
El personal del anfitrión fue, a falta de una palabra mejor, PERRA!	0
Sosa ... No me gusta este lugar por varias razones y no quiero perder el tiempo en malas críticas ... Lo dejaré así ...	0
Comida fenomenal, servicio y ambiente.	1
Yo no regresaria	0
Definitivamente vale la pena aventurarse fuera de la tira para el vientre de cerdo, volverá la próxima vez que esté en Las Vegas.	1
Este lugar es demasiado caro para comida mediocre.	0
Penne vodka excelente!	1
Tienen una buena selección de comida que incluye un enorme emparedado de carne, una crujiente envoltura de pollo, un delicioso atún derretido y algunas hamburguesas sabrosas.	1
La gestión es grosera.	0
Deliciosos panecillos de Nueva York, buenas selecciones de queso crema, Lox real con alcaparras incluso.	1
Estupendo metro, de hecho, es tan bueno cuando vienes aquí, cualquier otro metro no cumplirá tus expectativas.	1
Tuve un desayuno realmente sólido aquí.	1
Este es uno de los mejores bares con comida de Las Vegas.	1
Fue extremadamente grosero y, realmente, hay muchos otros restaurantes en los que me encantaría cenar durante un fin de semana en Las Vegas.	0
Mi bebida nunca estuvo vacía y él hizo algunas sugerencias de menú realmente geniales.	1
¡No lo hagas!	0
El camarero no era servicial o amable y rara vez nos atendió.	0
Mi esposo y yo comimos aquí y quedamos muy decepcionados con la comida y el servicio.	0
Y el curry rojo tenía muchos brotes de bambú y no era muy sabroso para mí.	0
Una bonita manta de moz sobre la parte superior, pero siento que esto se hizo para cubrir la comida insatisfactoria.	1
Los baños están limpios y el lugar en sí está bien decorado.	1
El menú siempre está cambiando, la calidad de la comida está bajando y el servicio es extremadamente lento.	0
El servicio fue un poco lento, teniendo en cuenta que fueron servidos por servidores de 3 personas, así que la comida venía a un ritmo lento.	0
Le doy 2 pulgares hacia abajo	0
Observamos a nuestro camarero prestar mucha más atención a otras mesas e ignorarnos.	0
Mi novio y yo vinimos a la mitad del día y nos saludaron y nos acomodaron de inmediato.	1
Este es un gran restaurante en el Mandalay Bay.	1
Esperamos cuarenta y cinco minutos en vano.	0
Crostini que venía con la ensalada estaba rancio.	0
Algunos aspectos destacados: ¡Gran calidad de nigiri aquí!	1
El personal es amable y la articulación está siempre limpia.	1
Este fue un corte diferente al de la pieza el otro día, pero aún así es maravilloso y tierno, así como bien condimentado.	1
Pedí la pasta Voodoo y fue la primera vez que comí una pasta excelente desde que comí sin gluten hace varios años.	1
este lugar es bueno	1
Desafortunadamente, debemos haber llegado a la panadería el día que sobraba porque todo lo que pedimos era VENTA.	0
Volví hoy porque se mudaron y todavía no me impresionaron.	0
Me senté inmediatamente.	1
Su menú es variado, ya un precio razonable.	1
Evitar a toda costa!	0
El restaurante siempre está lleno, pero nunca hay que esperar.	1
¡¡DELICIOSO!!	1
Este lugar es sin duda uno de los mejores lugares para comer en el área metropolitana de Phoenix.	1
Así que no vayas si buscas buena comida ...	0
Nunca me han tratado tan mal	0
El tocino es hella salado.	1
"También pedimos la ensalada de espinacas y aguacate	 Los ingredientes estaban tristes y el aderezo literalmente no tenía sabor."	0
Así es como solía ser la buena comida en Las Vegas, hasta los menús que se entregaban a las damas que no tienen precios indicados.	1
Las camareras son muy amables.	1
¡Lordy, el Khao Soi es un plato que no debe perderse para los amantes del curry!	1
Todo lo que hay en el menú es fantástico y también nos encantó que hicieran un alojamiento increíble para nuestra hija vegetariana.	1
Tal vez los atrapé en una noche de descanso a juzgar por las otras críticas, pero no estoy inspirado para volver.	0
El servicio aquí deja mucho que desear.	0
El ambiente es moderno y moderno, manteniendo un toque de comodidad.	1
No es un sitio semanal, pero definitivamente es un lugar al que volver de vez en cuando.	1
Literalmente nos sentamos allí por 20 minutos sin que nadie nos pidiera que tomáramos nuestro pedido.	0
La hamburguesa no tenía ningún sabor, la carne en sí era totalmente insípida, la hamburguesa estaba recocida y no tenía sabor a carbón.	0
También decidí no devolverlo porque nuestra camarera parecía estar a punto de sufrir un ataque al corazón.	0
Me vestí para ser tratado tan groseramente!	0
Probablemente era tierra.	0
Amo este lugar, golpea el lugar cuando quiero algo saludable pero que no carezca de cantidad o sabor.	1
Pedí el cóctel de limón y hielo de frambuesa que también fue increíble.	1
La comida chupaba, lo que esperábamos pero chupaba más de lo que podríamos haber imaginado.	0
Decoración interesante.	1
Lo que realmente me gusta es la estación de crepé.	1
También se sirvió pan caliente y mantequilla, y papas fritas caseras con trozos de tocino en la parte superior ... muy original y muy bueno.	1
Puedes verlos preparar la deliciosa comida!)	1
Ambos rollos de huevo eran fantásticos.	1
Cuando mi pedido llegó, faltaba uno de los giroscopios.	0
Comí una ensalada con las alas, y un poco de helado para el postre y me fui bastante satisfecho.	1
No estoy realmente seguro de cómo los lectores de Phoenix Magazine votaron a Joey's como el mejor perro caliente en el valle.	0
¡El mejor lugar para un sabroso tazón de Pho!	1
La música en vivo los viernes sopla totalmente.	0
Nunca he sido más insultado o sentí una falta de respeto.	0
El personal muy amable.	1
Vale la pena el viaje.	1
Había oído cosas buenas sobre este lugar, pero superaba todas las esperanzas con las que podría haber soñado.	1
La comida era estupenda y el servicio también!	1
La cerveza caliente no ayudó.	0
Gran lugar brunch.	1
El servicio es amable y acogedor.	1
Muy buen lugar para almorzar.	1
He vivido aquí desde 1979 y esta fue la primera (y última) vez que pisé este lugar.	0
La peor experiencia de todas.	0
Debe haber sido una noche de descanso en este lugar.	0
Los lados son deliciosos - hongos mixtos, puré de oro yukon, maíz blanco - beateous.	1
Si ese bicho nunca apareciera, habría dado un 4 seguro, pero en el otro lado de la pared donde este bicho estaba escalando estaba la cocina.	0
Durante aproximadamente 10 minutos, estamos esperando su ensalada cuando nos dimos cuenta de que no llegaría pronto.	0
Mi amigo me encantó el tartar de salmón.	1
No volveré	0
Extremadamente sabroso	1
Camarera era bueno!	1
Empapados y no buenos.	0
Los mojitos jamaicanos son deliciosos.	1
Las cuales son pequeñas y no valen el precio.	0
- La comida es rica así que ordene en consecuencia.	1
El área de la ducha está afuera, así que solo puedes enjuagar, no tomar una ducha completa, ¡a menos que no te importe estar desnudo para que todos lo vean!	0
El servicio era un poco escaso.	0
Bisque de Langosta, Brotes Bussell, Risotto, Filet TODO lo que se necesita sal y pimienta ... y por supuesto no hay ninguno en las mesas.	0
Esperemos que esto sea un impedimento para que salgan del negocio y pueda entrar alguien que pueda cocinar.	0
Era demasiado frío, no tenía suficiente sabor o simplemente era malo.	0
Me encantaron las fechas envueltas en tocino.	1
¡Esto es un GANGA increíble!	1
La gente de Otto siempre nos hace sentir muy bienvenidos y especiales.	1
"En cuanto a los ""principales"", también sin inspiración."	0
Este es el lugar donde primero tuve pho y fue increíble!	1
Esta maravillosa experiencia hizo de este lugar una parada obligada cuando estamos en la ciudad nuevamente.	1
Si la comida no es lo suficientemente mala para ti, entonces disfruta lidiando con las personas más borrachas y molestas del mundo.	0
Muy muy divertido chef.	1
Pedí una hamburguesa doble con queso y conseguí una sola empanada que se estaba cayendo a pedazos (foto cargada) Sí, todavía apesta.	0
Gran lugar para tomar un par de copas y ver eventos deportivos, ya que las paredes están cubiertas con televisores.	1
Si fuera posible darles cero estrellas, lo tendrían.	0
"Las descripciones decían ""yum yum salsa"" y otra decía ""salsa de anguila"", y otra decía ""mayonesa picante"" ... bueno, NINGUNO de los rollos tenía salsas."	0
Yo diría que esa sería la decisión más difícil ... Honestamente, todos los platos de M saben cómo deben saber (increíble).	1
Si ella no hubiera puesto los ojos en blanco, podríamos habernos quedado ... No estoy seguro de si volveremos y lo intentaremos de nuevo.	0
Todos son muy atentos, brindando un excelente servicio al cliente.	1
Horrible - no pierdas tu tiempo y dinero.	0
Ahora bien, este plato era bastante sabroso.	1
Para entonces, nuestro lado del restaurante estaba casi vacío, así que no había excusa.	0
(Tampoco estaba ocupado) Además, el edificio estaba CONGELADO frío.	0
"como dijo el otro crítico, ""no podrías pagarme para comer en este lugar otra vez""."	0
-Las bebidas tardaron cerca de 30 minutos en salir en un punto.	0
Seriamente sabrosas delicias, amigos.	1
Mucho mejor que el otro lugar de sushi AYCE al que fui en Las Vegas.	1
La iluminación es lo suficientemente oscura como para establecer el estado de ánimo.	1
Basado en el servicio de calidad inferior que recibí y ningún esfuerzo por mostrar su gratitud por mi negocio, no volveré.	0
Los propietarios son realmente grandes personas.	1
No hay nada privilegiado en trabajar / comer allí.	0
El aderezo griego era muy cremoso y sabroso.	1
En general, no creo que vuelva a llevar a mis padres a este lugar porque hicieron la mayoría de las quejas similares que también sentí en silencio.	0
Ahora la pizza en sí era buena, la salsa de maní era muy sabrosa.	1
Teníamos 7 en nuestra mesa y el servicio fue bastante rápido.	1
Fantástico servicio aquí.	1
Yo también habría dado a los padrinos cero estrellas si fuera posible.	0
Ellos saben cómo hacerlos aquí.	1
Muy duro y muy corto en sabor!	0
Espero que este lugar se mantenga alrededor.	1
He estado en más de unos pocos bares en Las Vegas, y no recuerdo haber sido cobrado por el agua del grifo.	0
El ambiente del restaurante era exquisito.	1
Buen servicio, muy limpio, y barato, para arrancar!	1
El marisco era fresco y generoso en la porción.	1
Además, es sólo 8 dólares.	1
El servicio no estaba a la par, tampoco.	0
Hasta ahora, solo he visitado dos veces y la comida fue absolutamente deliciosa cada vez.	1
¡Tan bueno como cuando lo tuve hace más de un año!	1
Para un café café autoproclamado, me decepcionó enormemente.	0
¡La fuente de Veggitarian está fuera de este mundo!	1
No te puedes equivocar con nada de la comida aquí.	1
No se puede superar eso.	1
Nos detuvimos en este lugar mientras estábamos en Madison para el Ironman, muy amable y amable personal.	1
Los cocineros eran amables e hicieron un buen trabajo.	1
Lo he tenido mejor, no solo de los dedicados spots de té de boba, sino también de Jenni Pho.	0
Me gustó el patio y el servicio fue excepcional.	1
El taco de cabra no escatimó en la carne y ¡qué sabor!	1
Creo que no otra vez	0
Tuve la ensalada mac y era bastante insípida, así que no volveré a hacerlo.	0
Fui a Bachi Burger por recomendación de un amigo y no me decepcionó.	1
El servicio apesta aquí!	0
Esperé y esperé.	0
Este lugar no es sushi de calidad, no es un restaurante de calidad.	0
Sin duda recomendaría las alas, así como la pizza.	1
Gran pizza y ensaladas!	1
Las cosas que salieron mal: - Quemaron los saganaki.	0
Esperamos una hora para lo que era un desayuno que podría haber hecho 100 veces mejor en casa.	0
¡Este lugar es increíble!	1
Odio estar en desacuerdo con mis compañeros de Yelp, pero mi esposo y yo estábamos muy decepcionados con este lugar.	0
Esperamos 2 horas y nunca conseguimos ninguna de nuestras pizzas, como lo hicieron muchos otros que vinieron más tarde que nosotros.	0
Simplemente no sé por qué eran tan lentos.	0
El personal es excelente, la comida es deliciosa y tienen una increíble selección de cervezas.	1
Vivo en el vecindario, así que me decepciona que no vuelva aquí porque es un lugar conveniente.	0
No sabía que el cerdo tirado podría ser tan delicioso.	1
Obtienes pescado increíblemente fresco, preparado con cuidado.	1
Antes de entrar a por qué le di una calificación de 1 estrella, sepa que esta fue la tercera vez que comí en la hamburguesa Bachi antes de escribir una reseña.	0
Me encanta el hecho de que todo en su menú vale la pena.	1
¡Nunca más volveré a cenar en este lugar!	0
La comida era excelente y el servicio era muy bueno.	1
Buena cerveza y selección de bebidas y buena selección de comida.	1
Por favor, manténgase alejado de los fideos salteados de camarón.	0
La orden de las papas fritas fue triste ... Probablemente podría contar cuántas papas había en esa caja y probablemente alrededor de las 12.	0
La comida era muy aburrida.	0
Buen servicio-cheque!	1
¡Esta corporación codiciosa NUNCA verá otro centavo de mí!	0
Nunca jamás volveré.	0
Por mucho que me gustaría volver, no puedo pasar por el atroz servicio y nunca volveré.	0
En verano, puede cenar en un encantador patio al aire libre, muy agradable.	1
¡No esperaba que esto fuera tan bueno!	1
Comida fantástica!	1
Pidió un panecillo inglés tostado que salió sin tostar.	0
La comida era muy buena.	1
Nunca volveré.	0
Buena comida por el precio, que es de muy alta calidad y hecho en casa.	1
El chico del autobús por otro lado era tan grosero.	0
A estas alturas, mis amigos y yo básicamente habíamos descubierto que este lugar era una broma y no nos importaba darlo a conocer públicamente y en voz alta.	0
Volver a una buena barbacoa, tarifas más ligeras, precios razonables y decirle al público que han vuelto a las formas antiguas.	1
Y considerando que los dos nos fuimos muy llenos y felices por alrededor de $ 20, simplemente no puedes equivocarte.	1
¡Todo el pan se hace en casa!	1
El único inconveniente es el servicio.	0
Además, las papas fritas son sin duda las peores papas que he tenido.	0
